accident_id,original_location,method,reason,latitude,longitude,matched_name
2081,CC was solo ice climbing in Haffner Creek in Kootenay National Park,no_match,no suitable match found,,,
2083,route on Sturs Chimney on Mount Heyburn in the Sawtooth Wilderness,no_match,no suitable match found,,,
2087,,skipped,no location text,,,
2088,Midnight Surf Wall,no_match,no suitable match found,,,
2138,Blue Ridge Parkway,no_match,no suitable match found,,,
2155,,skipped,no location text,,,
2162,,no_match,no suitable match found,,,
2168,,skipped,no location text,,,
2169,Tallulah Gorge State Park,no_match,no suitable match found,,,
2186,,skipped,no location text,,,
2215,a popular roadside rappelling and training site in Pisgah National Forest,no_match,no suitable match found,,,
2223,,skipped,no location text,,,
2228,,skipped,no location text,,,
2229,A large group was gathered at Military Wall,no_match,no suitable match found,,,
2231,Hawksbill,mountains_db,,47.7511,-120.7401,Hawksbill
2238,,skipped,no location text,,,
2241,Roadside Crag,no_match,no suitable match found,,,
2245,Horseshoe Canyon,no_match,no suitable match found,,,
2250,,skipped,no location text,,,
2253,s Lookout Mountain,no_match,no suitable match found,,,
