mountain_id,name,alt_names,elevation_ft,prominence_ft,type,range,state,latitude,longitude,location,accident_count
84,Rincon,,,,unknown,,Colorado,39.9311,-105.2928,Eldorado Canyon State Park,2
85,Ritter,,,,unknown,,California,36.7783,-119.4179,Inyo National Forest,2
86,Silver,,,,unknown,,Washington,47.7511,-120.7401,Silver Peak,2
87,Stoneworks,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,2
88,Star Trek,,,,unknown,,,,,Star Trek Wall,2
89,White,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,2
90,Chinaman's,,,,unknown,,Alberta,,,s Peak,2
91,Thunderbolt,,,,unknown,,California,36.7783,-119.4179,Kings Canyon National Park,2
92,Tenaya,,,,unknown,,California,37.8651,-119.5383,Yosemite National Park,2
93,Thor,,,,unknown,,Wyoming,43.076,-107.2903,Thor Peak,2
94,Split,,,,unknown,,California,36.7783,-119.4179,Split Mountain,2
95,Stanley,,,,unknown,,British Columbia,40.3428,-105.6836,Rocky Mountain,2
96,Black,,,,unknown,,Washington,48.7718,-121.2985,North Cascades National Park,2
97,Uto,,,,unknown,,British Columbia,48.7596,-113.787,Glacier National Park,2
98,Wake,,,,unknown,,Alaska,63.1148,-151.1926,Denali National Park,2
99,Tupper,,,,unknown,,,48.7596,-113.787,Glacier National Park,2
100,Crandell,,,,unknown,,Alberta,,,Waterton Lakes National Park,2
101,Stephen,,,,unknown,,British Columbia,51.3167,-116.45,Yoho National Park,2
102,Chancellor,,,,unknown,,,51.45,-116.5,Yoho National Park,2
103,Borah,,,,unknown,,Idaho,39.5501,-105.7821,Borah Peak,2
104,Old Rag,,,,unknown,,Virginia,,,Shenandoah National Park,2
105,Brock,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,2
106,Pingora,,,,unknown,,Wyoming,43.076,-107.2903,while ascending Pingora Peak,2
107,Rattlesnake,,,,unknown,,New Hampshire,43.1939,-71.5724,Rattlesnake Mountain,2
108,Columbia,,12294.0,8806.0,peak,Canadian Rockies,Alberta,52.1472,-117.4411,Rocky Mountain,2
