mountain_id,name,alt_names,elevation_ft,prominence_ft,type,range,state,latitude,longitude,location,accident_count
mt_1627af27,Candian Border,,,,unknown,,British Columbia,,,Candian Border Peak,1
mt_74c96872,Cannon,,,,unknown,,New Hampshire,43.1939,-71.5724,Cannon Mountain,1
mt_feb2f6a4,Colorado Longs,,,,unknown,,Colorado,39.5501,-105.7821,Colorado Longs Peak,1
mt_f39cb777,Colossal,,,,unknown,,British Columbia,,,Northern Selkirk Mountain,1
mt_2b93fbdf,Snow,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,1
mt_ca1d0010,Snow Creek,,,,unknown,,Washington,47.7511,-120.7401,Snow Creek Wall,1
mt_c32f2c66,Snowmass,,,,unknown,,Colorado,39.5501,-105.7821,Snowmass Mountain,1
mt_d58f7db3,Sorcerer,,,,unknown,,British Columbia,,,Northern Selkirk Mountain,1
mt_50fd76e3,South,,,,unknown,,,44.3386,-68.2733,Acadia National Park,1
mt_2a263b15,Ripple,,,,unknown,,Colorado,36.1357,-115.4274,Red Rock Canyon,1
mt_1a08321f,Roadside,,,,unknown,,Kentucky,,,Roadside Crag,1
mt_db467340,Rodeo,,,,unknown,,Wyoming,43.076,-107.2903,Rodeo Wall,1
mt_8b70ec78,Saco,,,,unknown,,New Hampshire,43.1939,-71.5724,Saco Crag,1
mt_401cb378,Saddle,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,1
mt_ae90a7df,Sahale,,,,unknown,,Washington,48.7718,-121.2985,North Cascades National Park,1
mt_2a4c1f6b,Saint,,,,unknown,,,,,,1
mt_f48bb38e,Saska,,,,unknown,,Washington,47.7511,-120.7401,Saska Peak,1
mt_0e18384d,Sauartown,,,,unknown,,North Carolina,,,Sauartown Mountain,1
mt_48324a73,Scud,,,,unknown,,Wyoming,43.076,-107.2903,Sinks Canyon,1
mt_32ca746b,Pisgah,,,,unknown,,Vermont,44.5588,-72.5778,,1
mt_64046461,Champlain,,,,unknown,,Maine,44.3386,-68.2733,Acadia National Park,1
mt_91d21490,Charlton,,,,unknown,,Alberta,52.8734,-117.9543,Jasper National Park,1
mt_00363127,Cheops,,,,unknown,,British Columbia,48.7596,-113.787,Glacier National Park,1
mt_f9b570ac,Chikamin,,,,unknown,,Washington,47.7511,-120.7401,Chikamin Peak,1
mt_ae463243,Stewart,,,,unknown,,Washington,47.7511,-120.7401,,1
mt_bd305285,Sun Devil,,,,unknown,,,,,Diablo Canyon,1
mt_1b71c209,Sunnyside,,,,unknown,,,,,was standing on a belay ledge at the Sunnyside Wall,1
mt_0571749e,Sunshine,,,,unknown,,Washington,47.7511,-120.7401,on Sunshine Wall,1
mt_5442ce0d,Sherpa,,,,unknown,,Washington,47.7511,-120.7401,Alpine Lakes Wilderness,1
mt_e1a5945f,Sifton,,,,unknown,,,48.7596,-113.787,and a team from Glacier National Park,1
mt_c6308ad5,Silent Pillar,,,,unknown,,California,36.7783,-119.4179,at Silent Pillar Wall,1
mt_45440b44,Sill,,14159.0,597.0,peak,Sierra Nevada,California,36.7783,-119.4179,comprised of two Wilderness,1
mt_ababd3d4,Silver Run,,,,unknown,,Montana,46.8797,-110.3626,Beartooth Wilderness,1
mt_69da625a,Skarland,,,,unknown,,Alaska,64.2008,-149.4937,,1
